soiltrt	pltpart	n%	p%	ncontent	pcontent
O	R	0.70	0.05	0.88	0.07
O	R	0.82	0.06	0.87	0.06
O	R	0.81	0.06	1.42	0.11
OA	R	0.79	0.06	1.04	0.08
OA	R	0.77	0.05	0.88	0.06
OA	R	0.88	0.06	0.92	0.07
ON	R	0.74	0.05	1.10	0.08
ON	R	0.86	0.05	1.13	0.07
ON	R	0.89	0.05	1.01	0.06
S	R	0.56	0.04	1.79	0.12
S	R	0.73	0.04	1.02	0.06
S	R	0.64	0.04	1.57	0.09
SA	R	1.01	0.08	1.43	0.12
SA	R	0.81	0.06	1.45	0.11
SA	R	1.13	0.09	1.22	0.10
O	S	0.61	0.07	3.10	0.35
O	S	0.58	0.06	2.87	0.32
O	S	0.50	0.05	2.47	0.27
OA	S	0.59	0.06	3.07	0.31
OA	S	0.46	0.05	2.26	0.24
OA	S	0.47	0.06	2.20	0.27
ON	S	0.47	0.05	2.60	0.27
ON	S	0.55	0.05	2.86	0.28
ON	S	0.60	0.06	3.58	0.33
S	S	0.40	0.04	4.84	0.51
S	S	0.56	0.05	6.13	0.50
S	S	0.52	0.05	5.45	0.48
SA	S	0.41	0.07	4.11	0.69
SA	S	0.45	0.08	4.35	0.76
SA	S	0.54	0.08	4.56	0.69
